Trialno DesignType YearsAgo AttemptNo NoOfTaps Time Error
1 Old 1 1 11 4591 1
1 Old 2 2 22 6769 0
1 Old 1 3 7 4756 0
1 Old 2 4 21 8423 0
1 Old 1 5 9 8850 0
1 Old 2 6 22 9496 1
1 Old 1 7 12 7087 0
1 Old 2 8 20 7360 0
1 Old 2 9 23 9975 0
1 Old 1 10 12 6436 1


1 New 1 1 4 9534 0
1 New 2 2 2 6174 1
1 New 1 3 6 11851 0
1 New 2 4 3 9060 0
1 New 1 5 3 8765 0
1 New 2 6 4 10505 0
1 New 1 7 4 9803 0
1 New 2 8 6 8227 0
1 New 2 9 4 9929 0
1 New 1 10 6 13534 0


2 Old 4 1 46 11151 0
2 Old 3 2 36 13652 0
2 Old 3 3 31 7914 0
2 Old 4 4 45 13932 0
2 Old 3 5 33 14601 0
2 Old 4 6 46 13575 0
2 Old 3 7 36 19927 0
2 Old 4 8 45 20948 0
2 Old 3 9 34 10162 0
2 Old 4 10 48 16303 0


2 New 4 1 4 10117 0
2 New 3 2 3 8973 0
2 New 3 3 5 10167 0
2 New 4 4 4 10870 0
2 New 3 5 3 6571 0
2 New 4 6 3 8549 0
2 New 3 7 5 15866 0
2 New 4 8 7 13548 0
2 New 3 9 4 10932 0
2 New 4 10 6 16121 0


3 Old 6 1 72 15101 0
3 Old 5 2 58 20880 0
3 Old 6 3 67 15842 0
3 Old 5 4 57 15950 0
3 Old 5 5 57 16481 0
3 Old 6 6 71 20872 0
3 Old 6 7 72 19730 0
3 Old 5 8 58 16115 1
3 Old 6 9 68 16665 0
3 Old 5 10 57 14184 0


3 New 6 1 4 11059 0
3 New 5 2 5 11308 0
3 New 6 3 7 9605 0
3 New 5 4 6 10653 0
3 New 5 5 4 8080 0
3 New 6 6 3 8130 0
3 New 6 7 5 10663 0
3 New 5 8 4 9662 0
3 New 6 9 5 10761 1
3 New 5 10 11 22402 0
