Trialno DesignType YearsAgo AttemptNo NoOfTaps Time Error
1 Old 1 1 11 7004 0
1 Old 2 2 22 8779 0
1 Old 1 3 8 5970 0
1 Old 2 4 21 10929 0
1 Old 1 5 10 13827 0
1 Old 2 6 22 10478 0
1 Old 1 7 12 10381 0
1 Old 2 8 20 7253 0
1 Old 2 9 22 8273 0
1 Old 1 10 12 5338 1


1 New 1 1 7 12751 0
1 New 2 2 2 6421 0
1 New 1 3 7 17024 0
1 New 2 4 3 8673 0
1 New 1 5 3 5366 1
1 New 2 6 4 7258 0
1 New 1 7 9 18450 0
1 New 2 8 6 9924 0
1 New 2 9 4 11673 0
1 New 1 10 5 11322 0


2 Old 4 1 46 14669 0
2 Old 3 2 35 8860 0
2 Old 3 3 31 10107 1
2 Old 4 4 45 13437 0
2 Old 3 5 33 10492 0
2 Old 4 6 46 12174 0
2 Old 3 7 36 12264 0
2 Old 4 8 44 12900 0
2 Old 3 9 34 10495 0
2 Old 4 10 48 12256 0


2 New 4 1 6 13792 0
2 New 3 2 3 7362 0
2 New 3 3 11 17122 0
2 New 4 4 5 15524 0
2 New 3 5 4 7974 0
2 New 4 6 5 15904 0
2 New 3 7 4 8733 1
2 New 4 8 6 9285 0
2 New 3 9 4 11116 0
2 New 4 10 4 12509 0


3 Old 6 1 72 15887 0
3 Old 5 2 58 14943 1
3 Old 6 3 67 17294 0
3 Old 5 4 57 14859 0
3 Old 5 5 58 15324 0
3 Old 6 6 71 15648 0
3 Old 6 7 72 16558 1
3 Old 5 8 58 14625 0
3 Old 6 9 67 16641 0
3 Old 5 10 57 18157 0


3 New 6 1 5 13356 0
3 New 5 2 4 9416 0
3 New 6 3 7 14347 0
3 New 5 4 4 11418 0
3 New 5 5 4 8474 0
3 New 6 6 4 10879 0
3 New 6 7 12 27223 0
3 New 5 8 5 15320 0
3 New 6 9 6 18623 0
3 New 5 10 5 10462 0
