Trialno DesignType YearsAgo AttemptNo NoOfTaps Time Error
1 Old 1 1 11 6762 0
1 Old 2 2 22 13139 0
1 Old 1 3 7 4893 0
1 Old 2 4 21 10681 0
1 Old 1 5 9 6060 0
1 Old 2 6 22 8877 0
1 Old 1 7 12 6520 1
1 Old 2 8 20 8711 0
1 Old 2 9 22 10443 0
1 Old 1 10 12 7866 2


1 New 1 1 5 11061 0
1 New 2 2 5 12442 0
1 New 1 3 6 8421 0
1 New 2 4 4 11308 0
1 New 1 5 4 13282 0
1 New 2 6 5 7405 0
1 New 1 7 5 7066 0
1 New 2 8 7 8561 0
1 New 2 9 8 14648 0
1 New 1 10 8 15656 0


2 Old 4 1 46 14010 0
2 Old 3 2 35 9940 0
2 Old 3 3 31 11676 0
2 Old 4 4 45 13536 0
2 Old 3 5 33 14660 0
2 Old 4 6 46 11831 0
2 Old 3 7 36 10941 0
2 Old 4 8 44 16268 0
2 Old 3 9 34 11574 0
2 Old 4 10 48 15575 0


2 New 4 1 4 11483 0
2 New 3 2 6 14858 0
2 New 3 3 5 10637 0
2 New 4 4 6 12092 0
2 New 3 5 4 10470 0
2 New 4 6 5 11099 0
2 New 3 7 6 10690 0
2 New 4 8 7 12579 0
2 New 3 9 9 19655 0
2 New 4 10 5 11461 0


3 Old 6 1 72 21134 1
3 Old 5 2 58 17554 0
3 Old 6 3 67 16148 0
3 Old 5 4 57 16177 0
3 Old 5 5 57 15489 0
3 Old 6 6 70 21038 0
3 Old 6 7 72 18275 0
3 Old 5 8 58 20368 0
3 Old 6 9 67 19013 0
3 Old 5 10 57 22116 1


3 New 6 1 9 16862 0
3 New 5 2 5 12858 0
3 New 6 3 10 13334 0
3 New 5 4 9 17893 0
3 New 5 5 3 12116 0
3 New 6 6 7 13048 0
3 New 6 7 10 15366 0
3 New 5 8 7 11551 0
3 New 6 9 11 18137 0
3 New 5 10 6 12659 0
