Trialno DesignType YearsAgo AttemptNo NoOfTaps Time Error
1 Old 1 1 11 6513 0
1 Old 2 2 22 11723 0
1 Old 1 3 7 4527 0
1 Old 2 4 21 9213 0
1 Old 1 5 9 5545 0
1 Old 2 6 22 19100 0
1 Old 1 7 12 5631 1
1 Old 2 8 20 7488 0
1 Old 2 9 22 15950 2
1 Old 1 10 12 8620 0


1 New 1 1 7 17429 0
1 New 2 2 3 9672 0
1 New 1 3 7 9916 0
1 New 2 4 7 13363 0
1 New 1 5 3 6406 0
1 New 2 6 4 9864 0
1 New 1 7 4 13268 0
1 New 2 8 6 11794 0
1 New 2 9 4 11827 0
1 New 1 10 7 17808 1


2 Old 4 1 46 14274 0
2 Old 3 2 35 10765 0
2 Old 3 3 31 9125 0
2 Old 4 4 45 15106 0
2 Old 3 5 33 10167 0
2 Old 4 6 46 15418 0
2 Old 3 7 36 17807 0
2 Old 4 8 44 12861 0
2 Old 3 9 34 10685 0
2 Old 4 10 48 16990 0


2 New 4 1 6 17359 0
2 New 3 2 4 15473 0
2 New 3 3 7 10724 0
2 New 4 4 3 10601 0
2 New 3 5 3 7837 0
2 New 4 6 5 13974 0
2 New 3 7 5 11826 0
2 New 4 8 8 11142 0
2 New 3 9 4 13062 0
2 New 4 10 10 19769 0


3 Old 6 1 72 19619 0
3 Old 5 2 58 15182 0
3 Old 6 3 67 15398 0
3 Old 5 4 57 19049 0
3 Old 5 5 57 13182 0
3 Old 6 6 70 18994 0
3 Old 6 7 72 19765 0
3 Old 5 8 58 17330 0
3 Old 6 9 67 20443 0
3 Old 5 10 57 17347 0


3 New 6 1 6 14521 0
3 New 5 2 4 16195 0
3 New 6 3 8 11965 0
3 New 5 4 4 12560 1
3 New 5 5 4 12906 0
3 New 6 6 3 14260 0
3 New 6 7 6 19343 0
3 New 5 8 4 11534 0
3 New 6 9 6 13256 0
3 New 5 10 4 10094 0
